Laptop_Price,Laptop_Brand,Laptop_Colour,Laptop_Memory_GB,Laptop_Storage_GB,Laptop_Display_Size_in,Laptop_name,Laptop_Graphics,No_Of_Reviews,Rating_5,Processor_Company_Name,Storage_Type,Operating_System,Processor_Model
$339.99,Apple,Silver,8,128,13.3,Geek Squad Certified Refurbished MacBook Air,No Graphics,95,3.9,Intel,Flash Storage,Mac OS, Core i5 - GSRF MQD32LL/A
$849.99,HP,Silver,8,512,16,Envy,No Graphics,225,4.7,AMD Ryzen,SSD,Windows11, 5 - 16-ad0013dx
$129.00,Acer,Black,4,64eMMC,11.6,Chromebook,No Graphics,18,4.5,Intel,eMMC,Windows11, Celeron N4500 - CBOA311-1H-C90F
$349.00,Acer,Silver,4,128eMMC,15.6,Chromebook,No Graphics,26,4.8,Intel,eMMC,Windows11, Pentium N6000 - CB315-4H-P8FZ
$319.00,Lenovo,Blue,4,64eMMC,14,Chromebook,No Graphics,1137,4.6,MediaTek,eMMC,Windows11, Kompanio 520 - 82XJ0000US
$349.00,ASUS,White,8,128,14,Chromebook,No Graphics,59,4.4,Intel,SSD,Windows11, Core i5 - CX3402CVA-I5128
$400.99,HP,Silver,8,256,17.3,No Model,No Graphics,488,4.6,Intel,SSD,Windows11, Core i3 - 17-cn2083dx
"$1,299.99",HP,Black,16,1024,16.1,OMEN,NVIDIA GeForce RTX 4060,151,4.5,Intel,SSD,Windows11, Core i7 - 16-wd0073dx
$699.99,HP,Silver,16,512,15.6,No Model,No Graphics,80,4.5,Intel,SSD,Windows11, Core i7 - 15-fd0107dx
"$1,199.99",Microsoft,Dune,16,512,13.8,Surface Laptop - Copilot+ PC,No Graphics,155,4.8,Snapdragon,SSD,Windows11, X Plus - ZGM-00026
$219.99,Lenovo,Blue,8,256,15.6,Ideapad,No Graphics,24,4.3,AMD Ryzen,SSD,Windows11, 3 7320U - 82VG00BJUS
$249.99,Lenovo,Gray,4,128,14,Ideapad,No Graphics,1601,3.6,Intel,SSD,Windows11, UHD Graphics - 82V60065US
$599.99,Geek,Gray,8,256,13.3,Geek Squad Certified Refurbished MacBook Air,No Graphics,207,4.4,Apple,SSD,Windows11,M1 chip - GSRF MGN63LL/A
$999.99,HP,Black,16,1024,16.1,OMEN,NVIDIA GeForce RTX 4060,31,4.3,Intel,SSD,Windows11, Core i9 - 16-wf0083dx
$522.99,Dell,Platinum,8,256,14,Inspiron,No Graphics,169,4.3,Snapdragon,SSD,Windows11, 8cx Gen - i3420-S476SLV-PUS
$899.99,Samsung,Blue,16,512,14,Galaxy Book4 Edge,No Graphics,34,3.9,Snapdragon,SSD,Windows11, X Elite - NP940XMA-KB1US
"$1,099.99",ASUS,BLACK,16,512PCIe,16,No Model,No Graphics,287,4.4,AMD Ryzen,PCIe,Windows11, 7 7735HS - FA617NT-A16.R77700
$449.99,HP,Silver,8,128,15.6,No Model,No Graphics,168,4.6,Intel,SSD,Windows11, Core i3 - 15-dy5113dx
"$1,199.99",HP,Silver,16,1024,14,OmniBook,No Graphics,91,4.4,Snapdragon,SDD,Windows11, X Elite - 14-fe0013dx
$799.99,HP,Silver,8,512,15.6,Victus,No Graphics,81,4.5,AMD Ryzen,SSD,Windows11, 5-7535HS - 15-fb2063dx
$999.99,Microsoft,Platinum,16,256,13.8,Surface Laptop - Copilot+ PC,No Graphics,44,4.5,Snapdragon,SSD,Windows11, X Plus - ZGJ-00001
"$1,049.99",HP,Silver,16,1024,14,Envy,No Graphics,181,4.7,AMD Ryzen,SSD,Windows11, 7 - 14-fa0023dx
$343.99,ASUS,Silver,8,128,14,Vivobook,No Graphics,993,4.5,Intel,SSD,Windows11, Core i3 - X1400EA-I38128
"$1,099.00",Apple,Midnight,8,256,13-inch,MacBook Air,No Graphics,1019,4.9,Apple,SSD,Mac OS,M3 chip Built for Apple ligence - MRXV3LL/A
$399.00,HP,Silver,8,64eMMC,15.6,Chromebook,No Graphics,903,4.6,Intel,eMMC,Windows11, Processor N200 - 15a-nb0013dx
$499.00,ASUS,Gray,8,256,15.6,Chromebook,No Graphics,85,4.3,Intel,SSD,Windows11, Core i5 - CX5501FEA-I5256
$899.99,HP,Silver,16,512,16.1,Victus,NVIDIA GeForce RTX 4070,28,4.4,AMD Ryzen,SSD,Windows11, 7-8845HS - 16-s1023dx
$699.99,Dell,Blue,16,512,16,Inspiron,No Graphics,15,4.5,Intel,SSD,Windows11, Core Ultra - i7640-5359BLU-PUS
$749.99,Dell,Ice,16,512,14,Inspiron,No Graphics,31,4.5,Snapdragon,SSD,Windows11, X Plus - i7441-SX10838BLU-PUS
$999.99,Samsung,Blue,16,512,16,Galaxy Book4 Edge,No Graphics,88,4.4,Snapdragon,SSD,Windows11, X Elite - NP960XMA-KB1US
$279.99,ASUS,Blue,8,128eMMC,14,Vivobook,No Graphics,2,5,Intel,eMMC,Windows11, Pentium Silver - TP1400KA-DS24T
"$1,599.99",Alienware,Moon,16,1024,14,m16,NVIDIA GeForce RTX 4070,215,4.5,Intel,SSD,Windows11, Core Ultra - AWM16-7025BLK-PUS
"$2,099.99",Alienware,Moon,32,1024,18,m18 R2,No Graphics,48,4.4,Intel,SSD,Windows11, Core i9 - AWM18R-9494BLK-PUS
"$2,799.99",ASUS,Gray,32,2048,16,ROG Zephyrus,NVIDIA GeForce RTX 4090,95,4.4,Intel,SSD,Windows11, Core Ultra - GU605MY-G16.U94090
$479.99,HP,Silver,8,512,17.3,No Model,No Graphics,0,0 Reviews,AMD Ryzen,SSD,Windows11, 5 - 17-cp3005dx
"$1,399.99",Lenovo,Grey,16,1024,16,Legion,NVIDIA GeForce RTX 4060,40,4.7,Intel,SSD,Windows11, 14th Gen - 83DF00A7US
$799.99,ASUS,Gray,8,512,14,Zenbook,No Graphics,132,4.7,Intel,SSD,Windows11, Core Ultra - Q415MA-U5512
"$1,299.99",Microsoft,Platinum,16,256,15,Surface Laptop - Copilot+ PC,No Graphics,40,4.8,Snapdragon,SSD,Windows11, X Elite - ZHG-00001
"$1,449.99",ASUS,Black,32,1024,14,ProArt PX13 13,No Graphics,42,4.5,No Info,SSD,Windows11,No Info - HN7306WU-PX13.R3704050
"$1,499.99",Microsoft,Graphite,16,512,15,Surface Laptop - Copilot+ PC,No Graphics,56,4.8,Snapdragon,SSD,Windows11, X Elite - ZHH-00026
"$2,599.99",ASUS,Gray,32,2048,18,No Model,NVIDIA GeForce RTX 4080,200,4.6,Intel,SSD,Windows11, 14th Gen - G814JZR-G18.I94080
"$1,449.99",Lenovo,Blue,16,1024,14,Yoga,No Graphics,37,4.2,Intel,SSD,Windows11, Core Ultra - 83AC0001US
"$1,999.99",Lenovo,White,32,1024,16,Legion,NVIDIA GeForce RTX 4070,81,4.5,Intel,SSD,Windows11, 14th Gen - 83FD0015US
$749.99,Lenovo,Grey,8,512,14,Yoga,No Graphics,100,4.5,AMD Ryzen,SSD,Windows11, 5 8640HS - 83DK000DUS
"$1,099.99",ASUS,Black,16,1024,13,No Model,No Graphics,27,4.5,Snapdragon,SSD,Windows11, X Plus - HT5306QA-PZ13.X1P1TB
$759.99,Lenovo,Grey,8,1024,15.6,LOQ,NVIDIA GeForce RTX 3050,695,4.6,Intel,SSD,Windows11, Core i5 - 82XV002LUS
"$1,299.99",MSI,Black,16,1024,15.6,Katana,No Graphics,12,4.7,No Info,SSD,Windows11,No Info - KATANAA15B8423
"$1,359.99",ASUS,White,16,512,14,ROG Zephyrus G14,NVIDIA GeForce RTX 4060,1151,4.5,AMD Ryzen,SSD,Windows11, 9 - GA402XV-G14.R94060
"$1,899.99",Samsung,Gray,16,1024,16,Galaxy Book4 Ultra,NVIDIA GeForce RTX 4050,13,4.6,Intel,SSD,Windows11, Core Ultra - NP960XGL-XG2US
"$1,649.99",Lenovo,Blue,32,1024,14,Yoga,No Graphics,39,4.8,Intel,SSD,Windows11, Core Ultra - 83AC001AUS
"$2,249.99",Acer,Black,32,1024,18,Predator Helios 18,No Graphics,29,4.7,Intel,SSD,Windows11, i9 - PH18-72-93VM
"$1,999.99",ASUS,Gray,16,1024,16,ROG Zephyrus,NVIDIA GeForce RTX 4070,266,4.2,Intel,SSD,Windows11, Core Ultra - GU605MI-G16.U94070
"$1,359.99",Acer,Black,16,1024,18,Predator Helios 18,No Graphics,164,4.6,Intel,SSD,Windows11, i7 - PH18-71-756U
"$2,299.99",Alienware,Moon,32,512,16,No Model,NVIDIA GeForce RTX 4080,29,4.1,AMD Ryzen,SSD,Windows11, 9 - AWm16-9364BLK-PUS
"$1,899.99",Lenovo,Grey,32,1024,16,Yoga,NVIDIA GeForce RTX 4060,46,4.1,Intel,SSD,Windows11, Core Ultra - 83DN0007US
$774.99,MSI,Black,16,512,15.6,Bravo 15,No Graphics,223,4.5,No Info,NVMe,Windows11,No Info - BRAVO15C7084
"$1,699.99",Lenovo,White,16,1024,16,Legion,NVIDIA GeForce RTX 4060,31,4.2,Intel,SSD,Windows11, 14th Gen - 83FD004GUS
"$2,499.99",Samsung,Gray,32,1024,16,Galaxy Book4 Ultra,NVIDIA GeForce RTX 4070,10,4.2,Intel,SSD,Windows11, Core Ultra - NP960XGL-XG1US
"$2,239.99",Alienware,Moon,16,1024,14,m16,NVIDIA GeForce RTX 4080,132,3.9,AMD Ryzen,SSD,Windows11, 9 - AWM16-A138BLK-PUS
"$1,349.99",Samsung,Gray,16,512,15.6,No Model,No Graphics,147,4.7,Intel,SSD,Windows11, Core 7 - NP750QGK-KG3US
"$1,299.99",LG,Black,32,1024,15,gram,No Graphics,0,0 Reviews,Intel,SSD,Windows11, Core Ultra - 15Z90S-H.ADB8U1
"$1,999.99",Lenovo,Teal,16,1024,13.3,Yoga,No Graphics,19,4.4,Intel,SSD,Windows11, Core Ultra - 83FF0000US
$889.99,Lenovo,Black,16,512,16,ThinkPad,No Graphics,2,4,Intel,SSD,Windows11, Core i5 - 21JN0040US
$551.99,HP,Silver,8,256,15.6,Envy,No Graphics,955,4.7,Intel,SSD,Windows11, Core i5 - 15-fe0013dx
"$1,999.99",Microsoft,Graphite,32,1024,15,Surface Laptop - Copilot+ PC,No Graphics,7,4.6,Snapdragon,SSD,Windows11, X Elite - ZHI-00001
"$1,749.99",HP,Black,16,1024,16,Spectre,No Graphics,73,4.5,Intel,SSD,Windows11, Core Ultra - 16-aa0013dx
"$2,099.99",Dell,Platinum,32,512,14.5,XPS,No Graphics,37,4.4,Intel,SSD,Windows11, Core Ultra - XPS9440-7134SLV-PUS
$919.99,Dell,Gray,8,1024,15.6,No Model,NVIDIA GeForce RTX 4050,207,4.6,Intel,SSD,Windows11, Core i7 - G5530-7527BLK-PUS
"$2,199.99",HP,Black,32,1024,16,Spectre,NVIDIA GeForce RTX 4050,91,4.6,Intel,SSD,Windows11, Core Ultra - 16-aa0023dx
$949.99,Dell,Gray,16,1024,15.6,No Model,NVIDIA GeForce RTX 3050,203,4.4,AMD Ryzen,SSD,Windows11, 5 7640HS - i5535-A933GRY-PUS
"$1,069.99",Dell,Other,16,512,15.6,Latitude 3000,No Graphics,1,5,Intel,SSD,Windows11, Core i7 - 7CCG9
$979.99,Lenovo,Gray,16,512,16,ThinkBook,No Graphics,1,5,No Info,SSD,Windows11,No Info - 21KH000FUS
